Date;Interview_location_latitude;Interview_location__longitude;Respondent Age;Educational Level;Primary Livelihood;Observed Land Use Change (Past 20 years);Main Driver of Change;Key Pressures on Habitat;_index
Monday, 22 December 2025;-3,377236309;29.35025007;34;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Overfishing Water pollution Soil pollution Sedimentation/siltation Soil erosion Invasive species Waste dumping Deforestation Climate change impacts;1
Monday, 22 December 2025;-3.387962665;29.35025007;30;Primary education;Crop agriculture;Settlement expansion;Population pressure/growth;Soil pollution Sedimentation/siltation Soil erosion Deforestation Invasive species Climate change impacts;2
Monday, 22 December 2025;-3.387962665;29.35025007;53;Secondary education;Wage labor;Wetland degradation/drainage;Agricultural expansion;Climate change impacts Soil pollution Sedimentation/siltation Soil erosion Deforestation;3
Monday, 22 December 2025;-3.387962665;29.35025007;42;Primary education;Trade/commerce;Agricultural expansion;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Climate change impacts;4
Monday, 22 December 2025;-3.387962665;29.35025007;27;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Soil erosion Deforestation Climate change impacts;5
Monday, 22 December 2025;-3.387962665;29.35025007;25;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Soil pollution;6
Monday, 22 December 2025;-3.387962665;29.35025007;67;Primary education;Crop agriculture;Agricultural expansion;Agricultural expansion;Sedimentation/siltation Soil erosion Deforestation Climate change impacts;7
Monday, 22 December 2025;-3.387962665;29.35025007;47;Secondary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Soil erosion Sedimentation/siltation Deforestation;8
Monday, 22 December 2025;-3.387962665;29.35025007;58;Primary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Climate change impacts;9
Monday, 22 December 2025;-3.387962665;29.35025007;31;No formal schooling;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Overfishing Water pollution Waste dumping Soil erosion Agricultural chemicals;10
Monday, 22 December 2025;-3.387962665;29.35025007;53;Primary education;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Agricultural chemicals Deforestation;11
Monday, 22 December 2025;-3.387962665;29.35025007;20;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation;12
Monday, 22 December 2025;-3.387962665;29.35025007;32;Tertiary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Deforestation;13
Monday, 22 December 2025;-3.387962665;29.35025007;36;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Deforestation;14
Monday, 22 December 2025;-3.387962665;29.35025007;32;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation;15
Monday, 22 December 2025;-3.387962665;29.35025007;28;Primary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Deforestation;16
Monday, 22 December 2025;-3.387962665;29.35025007;30;Primary education;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Deforestation;17
Monday, 22 December 2025;-3.387962665;29.35025007;24;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Deforestation;18
Monday, 22 December 2025;-3.387962665;29.35025007;34;No formal schooling;Fishing;Forest loss/deforestation;Agricultural expansion;Deforestation;19
Monday, 22 December 2025;-3.387962665;29.35025007;28;Secondary education;Fishing;Forest loss/deforestation;Population pressure/growth;Deforestation;20
Monday, 22 December 2025;-3.377236309;29.35650256;24;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Deforestation;21
Monday, 22 December 2025;-3.377236309;29.35650256;25;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation;22
Monday, 22 December 2025;-3.377236309;29.35650256;26;No formal schooling;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Deforestation;23
Monday, 22 December 2025;-3.377236309;29.35650256;47;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Deforestation;24
Monday, 22 December 2025;-3.377236309;29.35650256;60;No formal schooling;Fishing;Forest loss/deforestation;Population pressure/growth;Deforestation;25
Monday, 22 December 2025;-3.377236309;29.35650256;31;Primary education;Crop agriculture;Agricultural expansion;Poverty/livelihood needs;Overgrazing Soil erosion Water pollution Fire Sedimentation/siltation Deforestation;26
Monday, 22 December 2025;-3.377236309;29.35650256;47;No formal schooling;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Sedimentation/siltation Invasive species Soil erosion;27
Monday, 22 December 2025;-3.377236309;29.35650256;37;Primary education;Trade/commerce;Agricultural expansion;Population pressure/growth;Agricultural chemicals Soil pollution Deforestation;28
Monday, 22 December 2025;-3.377236309;29.35650256;49;Primary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Sedimentation/siltation Water pollution Deforestation;29
Monday, 22 December 2025;-3.377236309;29.35650256;50;Primary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Soil pollution Sedimentation/siltation Deforestation;30
Monday, 22 December 2025;-3.377236309;29.35650256;52;No formal schooling;Crop agriculture;Agricultural expansion;Population pressure/growth;Soil erosion Agricultural chemicals Climate change impacts;31
Monday, 22 December 2025;-3.377236309;29.35650256;34;No formal schooling;Fishing;Agricultural expansion;Population pressure/growth;Soil pollution Sedimentation/siltation Soil erosion;32
Monday, 22 December 2025;-3.377236309;29.35650256;36;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Soil pollution Soil erosion Sedimentation/siltation;33
Monday, 22 December 2025;-3.377236309;29.35650256;72;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Soil erosion Deforestation Water pollution;34
Monday, 22 December 2025;-3.377236309;29.35650256;62;Secondary education;Trade/commerce;Wetland degradation/drainage;Population pressure/growth;Sedimentation/siltation Fire Deforestation;35
Tuesday, 23 December 2025;-3.377236309;29.35650256;59;Primary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Invasive species Soil erosion Soil pollution;36
Tuesday, 23 December 2025;-3.377236309;29.35650256;51;Tertiary education;Wage labor;Agricultural expansion;Population pressure/growth;Soil pollution Deforestation Sedimentation/siltation;37
Tuesday, 23 December 2025;-3.377236309;29.35650256;32;Primary education;Crop agriculture;Agricultural expansion;Agricultural expansion;Deforestation Soil pollution Sedimentation/siltation;38
Tuesday, 23 December 2025;-3.377236309;29.35650256;69;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Water pollution;39
Tuesday, 23 December 2025;-3.377236309;29.35650256;26;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Water pollution;40
Tuesday, 23 December 2025;-4.027389366;29.51708266;30;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Water pollution;41
Tuesday, 23 December 2025;-4.027389366;29.51708266;35;No formal schooling;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Water pollution;42
Tuesday, 23 December 2025;-4.027389366;29.51708266;32;Primary education;Trade/commerce;Forest loss/deforestation;Agricultural expansion;Water pollution;43
Tuesday, 23 December 2025;-4.027389366;29.51708266;40;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Water pollution;44
Tuesday, 23 December 2025;-4.027389366;29.51708266;27;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Water pollution;45
Tuesday, 23 December 2025;-4.027389366;29.51708266;50;No formal schooling;Crop agriculture;Agricultural expansion;Agricultural expansion;Water pollution Sedimentation/siltation Soil pollution;46
Tuesday, 23 December 2025;-4.027389366;29.51708266;34;No formal schooling;Crop agriculture;Agricultural expansion;Population pressure/growth;Soil pollution Soil erosion Waste dumping Fire;47
Tuesday, 23 December 2025;-4.027389366;29.51708266;30;Tertiary education;Wage labor;Agricultural expansion;Population pressure/growth;Waste dumping Fire Soil erosion;48
Tuesday, 23 December 2025;-4.027389366;29.51708266;50;Secondary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Waste dumping Soil erosion Fire;49
Tuesday, 23 December 2025;-4.027389366;29.51708266;41;No formal schooling;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Soil pollution Soil erosion Waste dumping;50
Tuesday, 23 December 2025;-4.027389366;29.51708266;31;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Fire;51
Tuesday, 23 December 2025;-4.027389366;29.51708266;30;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Deforestation Climate change impacts;52
Tuesday, 23 December 2025;-4.027389366;29.51708266;28;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Climate change impacts;53
Tuesday, 23 December 2025;-4.027389366;29.51708266;45;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Climate change impacts;54
Tuesday, 23 December 2025;-4.027389366;29.51708266;56;No formal schooling;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Climate change impacts Fire Deforestation;55
Tuesday, 23 December 2025;-4.027389366;29.51708266;31;No formal schooling;Crop agriculture;Settlement expansion;Agricultural expansion;Deforestation;56
Tuesday, 23 December 2025;-4.027389366;29.51708266;70;Primary education;Crop agriculture;Settlement expansion;Agricultural expansion;Water pollution;57
Tuesday, 23 December 2025;-4.027389366;29.51708266;55;Primary education;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Deforestation;58
Tuesday, 23 December 2025;-4.027389366;29.51708266;35;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation Soil erosion Deforestation;59
Tuesday, 23 December 2025;-4.027389366;29.51708266;44;No formal schooling;Crop agriculture;Settlement expansion;Population pressure/growth;Deforestation Climate change impacts;60
Tuesday, 23 December 2025;-4.044818966;29.52282017;58;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Climate change impacts;61
Tuesday, 23 December 2025;-4.044818966;29.52282017;42;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Climate change impacts;62
Tuesday, 23 December 2025;-4.044818966;29.52282017;47;Primary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Climate change impacts;63
Tuesday, 23 December 2025;-4.044818966;29.52282017;39;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Soil erosion Sedimentation/siltation Deforestation Overgrazing Climate change impacts;64
Tuesday, 23 December 2025;-4.044818966;29.52282017;33;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Climate change impacts;65
Tuesday, 23 December 2025;-4.044818966;29.52282017;56;Secondary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Climate change impacts Fire Deforestation Soil erosion Sedimentation/siltation;66
Tuesday, 23 December 2025;-4.044818966;29.52282017;42;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Climate change impacts Fire Deforestation Soil erosion Sedimentation/siltation Overgrazing;67
Tuesday, 23 December 2025;-4.044818966;29.52282017;27;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Soil erosion Deforestation Climate change impacts Fire;68
Tuesday, 23 December 2025;-4.044818966;29.52282017;72;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Climate change impacts Fire Soil erosion Sedimentation/siltation Deforestation;69
Tuesday, 23 December 2025;-4.044818966;29.52282017;24;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Soil erosion Sedimentation/siltation Deforestation Climate change impacts Fire;70
Tuesday, 23 December 2025;-4.044818966;29.52282017;51;Primary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Climate change impacts Fire Deforestation Soil erosion;71
Tuesday, 23 December 2025;-4.044818966;29.52282017;34;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Deforestation;72
Tuesday, 23 December 2025;-4.044818966;29.52282017;31;No formal schooling;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Fire Climate change impacts;73
Tuesday, 23 December 2025;-4.044818966;29.52282017;35;Secondary education;Wage labor;Settlement expansion;Climate variability;Water pollution;74
Tuesday, 23 December 2025;-4.044818966;29.52282017;56;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Water pollution;75
Tuesday, 23 December 2025;-4.044818966;29.52282017;28;Tertiary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Water pollution;76
Tuesday, 23 December 2025;-4.044818966;29.52282017;44;Secondary education;Trade/commerce;Settlement expansion;Population pressure/growth;Water pollution;77
Tuesday, 23 December 2025;-4.044818966;29.52282017;36;Secondary education;Crop agriculture;Settlement expansion;Agricultural expansion;Water pollution;78
Tuesday, 23 December 2025;-4.044818966;29.52282017;50;Tertiary education;Wage labor;Agricultural expansion;Population pressure/growth;Water pollution;79
Tuesday, 23 December 2025;-4.044818966;29.52282017;25;Secondary education;Wage labor;Settlement expansion;Agricultural expansion;Water pollution;80
Tuesday, 23 December 2025;-3.986931336;29.77508021;26;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Water pollution;81
Tuesday, 23 December 2025;-3.986931336;29.77508021;29;Tertiary education;Wage labor;Agricultural expansion;Population pressure/growth;Water pollution;82
Tuesday, 23 December 2025;-3.986931336;29.77508021;27;Secondary education;Fishing;Agricultural expansion;Population pressure/growth;Water pollution;83
Tuesday, 23 December 2025;-3.986931336;29.77508021;47;Secondary education;Crop agriculture;Agricultural expansion;Agricultural expansion;Water pollution;84
Tuesday, 23 December 2025;-3.986931336;29.77508021;30;Secondary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Water pollution;85
Tuesday, 23 December 2025;-3.986931336;29.77508021;32;Secondary education;Crop agriculture;Agricultural expansion;Agricultural expansion;Water pollution;86
Tuesday, 23 December 2025;-3.986931336;29.77508021;30;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Waste dumping Sedimentation/siltation Deforestation Water pollution;87
Tuesday, 23 December 2025;-3.986931336;29.77508021;67;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Sedimentation/siltation Invasive species Fire;88
Tuesday, 23 December 2025;-3.986931336;29.77508021;25;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Sedimentation/siltation Deforestation Waste dumping;89
Tuesday, 23 December 2025;-3.986931336;29.77508021;50;Primary education;Crop agriculture;Settlement expansion;Population pressure/growth;Sedimentation/siltation Soil pollution Deforestation;90
Tuesday, 23 December 2025;-3.986931336;29.77508021;47;Tertiary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Deforestation Fire Sedimentation/siltation;91
Tuesday, 23 December 2025;-3.986931336;29.77508021;41;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Sedimentation/siltation Waste dumping Deforestation;92
Tuesday, 23 December 2025;-3.986931336;29.77508021;37;Tertiary education;Wage labor;Agricultural expansion;Population pressure/growth;Sedimentation/siltation Invasive species Overgrazing;93
Tuesday, 23 December 2025;-3.986931336;29.77508021;52;Secondary education;Wage labor;Agricultural expansion;Population pressure/growth;Soil pollution Sedimentation/siltation Waste dumping;94
Tuesday, 23 December 2025;-3.986931336;29.77508021;40;Secondary education;Crop agriculture;Settlement expansion;Population pressure/growth;Sedimentation/siltation Water pollution Waste dumping;95
Tuesday, 23 December 2025;-3.986931336;29.77508021;34;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Waste dumping Fire;96
Tuesday, 23 December 2025;-3.986931336;29.77508021;63;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Sedimentation/siltation Soil erosion Waste dumping;97
Tuesday, 23 December 2025;-3.986931336;29.77508021;53;No formal schooling;Crop agriculture;Settlement expansion;Population pressure/growth;Fire Deforestation Soil erosion;98
Tuesday, 23 December 2025;-3.986931336;29.77508021;51;No formal schooling;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Climate change impacts Fire Sedimentation/siltation Soil erosion Deforestation;99
Tuesday, 23 December 2025;-3.986931336;29.77508021;29;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Fire Deforestation;100
Tuesday, 23 December 2025;-2.733471531;29.04265642;32;Secondary education;Trade/commerce;Forest loss/deforestation;Agricultural expansion;Climate change impacts Sedimentation/siltation Soil erosion;101
Tuesday, 23 December 2025;-2.733471531;29.04265642;37;No formal schooling;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Climate change impacts Soil erosion;102
Tuesday, 23 December 2025;-2.733471531;29.04265642;29;Primary education;Trade/commerce;Settlement expansion;Population pressure/growth;Climate change impacts Waste dumping Soil erosion;103
Tuesday, 23 December 2025;-2.733471531;29.04265642;31;Secondary education;Fishing;Settlement expansion;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Invasive species Climate change impacts Waste dumping;104
Tuesday, 23 December 2025;-2.733471531;29.04265642;27;Secondary education;Trade/commerce;Settlement expansion;Population pressure/growth;Water pollution Deforestation Climate change impacts;105
Tuesday, 23 December 2025;-2.733471531;29.04265642;27;Secondary education;Trade/commerce;Settlement expansion;Population pressure/growth;Climate change impacts Waste dumping Deforestation Soil erosion Sedimentation/siltation;106
Tuesday, 23 December 2025;-2.733471531;29.04265642;33;No formal schooling;Fishing;Forest loss/deforestation;Climate variability;Climate change impacts Deforestation Soil erosion Sedimentation/siltation Overfishing;107
Tuesday, 23 December 2025;-2.733471531;29.04265642;67;No formal schooling;Fishing;Forest loss/deforestation;Population pressure/growth;Climate change impacts Deforestation Soil erosion Sedimentation/siltation Overfishing;108
Tuesday, 23 December 2025;-2.733471531;29.04265642;52;Primary education;Fishing;Forest loss/deforestation;Population pressure/growth;Climate change impacts Waste dumping Soil erosion Sedimentation/siltation Overfishing;109
Tuesday, 23 December 2025;-2.733471531;29.04265642;28;Primary education;Fishing;Wetland degradation/drainage;Agricultural expansion;Climate change impacts Deforestation Soil erosion Sedimentation/siltation Overfishing;110
Tuesday, 23 December 2025;-2.733471531;29.04265642;65;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Soil erosion Deforestation Climate change impacts;111
Tuesday, 23 December 2025;-2.733471531;29.04265642;50;No formal schooling;Fishing;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Sedimentation/siltation Soil erosion;112
Tuesday, 23 December 2025;-2.733471531;29.04265642;32;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Climate change impacts Sedimentation/siltation Soil erosion Deforestation;113
Tuesday, 23 December 2025;-2.733471531;29.04265642;28;Primary education;Fishing;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation;114
Tuesday, 23 December 2025;-2.733471531;29.04265642;29;Primary education;Fishing;Forest loss/deforestation;Population pressure/growth;Climate change impacts Soil erosion Sedimentation/siltation Deforestation;115
Tuesday, 23 December 2025;-2.733471531;29.04265642;51;Primary education;Fishing;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation Soil erosion Deforestation;116
Tuesday, 23 December 2025;-2.733471531;29.04265642;38;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation Deforestation;117
Tuesday, 23 December 2025;-2.733471531;29.04265642;27;Secondary education;Fishing;Forest loss/deforestation;Population pressure/growth;Climate change impacts Deforestation Soil erosion Sedimentation/siltation;118
Tuesday, 23 December 2025;-2.733471531;29.04265642;53;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Climate change impacts Deforestation Sedimentation/siltation;119
Tuesday, 23 December 2025;-2.733471531;29.04265642;29;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Climate change impacts Deforestation Sedimentation/siltation Soil erosion;120
Tuesday, 23 December 2025;-2.893573456;29.48137626;37;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation Deforestation Soil erosion;121
Wednesday, 24 December 2025;-3.601513417;29.4993582;47;Primary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Climate change impacts Deforestation Soil erosion Sedimentation/siltation;122
Wednesday, 24 December 2025;-3.601513417;29.4993582;51;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Soil erosion Climate change impacts Deforestation;123
Wednesday, 24 December 2025;-3.601513417;29.4993582;39;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Soil erosion Deforestation Sedimentation/siltation;124
Wednesday, 24 December 2025;-3.601513417;29.4993582;65;No formal schooling;Crop agriculture;Settlement expansion;Population pressure/growth;Climate change impacts Soil erosion Sedimentation/siltation Deforestation;125
Wednesday, 24 December 2025;-3.601513417;29.4993582;26;Secondary education;Fishing;Wetland degradation/drainage;Population pressure/growth;Sedimentation/siltation Climate change impacts Deforestation;126
Wednesday, 24 December 2025;-3.601513417;29.4993582;27;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Climate change impacts;127
Wednesday, 24 December 2025;-3.601513417;29.4993582;33;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Water pollution Sedimentation/siltation Climate change impacts;128
Wednesday, 24 December 2025;-3.601513417;29.4993582;23;Secondary education;Crop agriculture;Settlement expansion;Population pressure/growth;Climate change impacts Waste dumping Deforestation Sedimentation/siltation Water pollution;129
Wednesday, 24 December 2025;-3.601513417;29.4993582;36;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Sedimentation/siltation Deforestation Waste dumping Climate change impacts;130
Wednesday, 24 December 2025;-3.601513417;29.4993582;51;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Sedimentation/siltation Deforestation Climate change impacts Waste dumping Water pollution;131
Monday, 05 January 2026;-3.391953765;29.37555646;27;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Waste dumping;132
Monday, 05 January 2026;-3.391953765;29.37555646;31;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Waste dumping Climate change impacts Deforestation Sedimentation/siltation Water pollution;133
Monday, 05 January 2026;-3.391953765;29.37555646;37;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Water pollution;134
Monday, 05 January 2026;-3.391953765;29.37555646;37;Secondary education;Fishing;Forest loss/deforestation;Population pressure/growth;Deforestation Water pollution Overfishing;135
Monday, 05 January 2026;-3.391953765;29.37555646;23;Secondary education;Crop agriculture;Settlement expansion;Population pressure/growth;Water pollution Deforestation;136
Monday, 05 January 2026;-3.391953765;29.37555646;28;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Water pollution Climate change impacts Deforestation;137
Monday, 05 January 2026;-3.391953765;29.37555646;24;Secondary education;Crop agriculture;Settlement expansion;Population pressure/growth;Climate change impacts Waste dumping Deforestation Sedimentation/siltation Water pollution;138
Monday, 05 January 2026;-3.391953765;29.37555646;32;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Water pollution Sedimentation/siltation Deforestation;139
Monday, 05 January 2026;-3.391953765;29.37555646;27;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Waste dumping Sedimentation/siltation Deforestation;140
Monday, 05 January 2026;-3.391953765;29.37555646;35;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Waste dumping Sedimentation/siltation Deforestation Water pollution;141
Monday, 05 January 2026;-3.61426;29.347057;27;Primary education;Crop agriculture;Settlement expansion;Population pressure/growth;Water pollution Sedimentation/siltation Deforestation;142
Monday, 05 January 2026;-3.61426;29.347057;35;Tertiary education;Crop agriculture;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Sedimentation/siltation Waste dumping;143
Monday, 05 January 2026;-3.61426;29.347057;31;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Waste dumping Water pollution;144
Monday, 05 January 2026;-3.61426;29.347057;27;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Water pollution Waste dumping;145
Monday, 05 January 2026;-3.61426;29.347057;36;Secondary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Sedimentation/siltation Water pollution;146
Monday, 05 January 2026;-3.61426;29.347057;28;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Climate change impacts Waste dumping Water pollution;147
Monday, 05 January 2026;-3.61426;29.347057;27;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Climate change impacts Sedimentation/siltation Water pollution;148
Monday, 05 January 2026;-3.61426;29.347057;39;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Waste dumping Deforestation Soil erosion Sedimentation/siltation Water pollution;149
Monday, 05 January 2026;-3.61426;29.347057;24;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Sedimentation/siltation;150
Monday, 05 January 2026;-3.61426;29.347057;38;Secondary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Deforestation Climate change impacts;151
Monday, 05 January 2026;-3.347422;29.296786;38;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Sedimentation/siltation Water pollution;152
Monday, 05 January 2026;-3.347422;29.296786;38;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation;153
Monday, 05 January 2026;-3.347422;29.296786;57;No formal schooling;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Sedimentation/siltation Climate change impacts;154
Monday, 05 January 2026;-3.347422;29.296786;76;Secondary education;Trade/commerce;Forest loss/deforestation;Poverty/livelihood needs;Climate change impacts Deforestation Sedimentation/siltation Soil erosion;155
Monday, 05 January 2026;-3.347422;29.296786;32;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation;156
Monday, 05 January 2026;-3.347422;29.296786;36;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Deforestation Sedimentation/siltation;157
Monday, 05 January 2026;-3.347422;29.296786;31;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Deforestation;158
Monday, 05 January 2026;-3.347422;29.296786;52;No formal schooling;Crop agriculture;Agricultural expansion;Agricultural expansion;Deforestation Sedimentation/siltation;159
Monday, 05 January 2026;-3.347422;29.296786;27;Tertiary education;Crop agriculture;Wetland degradation/drainage;Population pressure/growth;Deforestation Sedimentation/siltation;160
Monday, 05 January 2026;-3.347422;29.296786;56;No formal schooling;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation Soil erosion Deforestation;161
Monday, 05 January 2026;-3.347422;29.296786;27;Primary education;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Deforestation Soil erosion Sedimentation/siltation;162
Monday, 05 January 2026;-3.450376;29.344986;38;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Waste dumping Water pollution Deforestation;163
Monday, 05 January 2026;-3.450376;29.344986;35;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Climate change impacts Sedimentation/siltation Deforestation;164
Monday, 05 January 2026;-3.450376;29.344986;52;Secondary education;Crop agriculture;Settlement expansion;Population pressure/growth;Climate change impacts;165
Monday, 05 January 2026;-3.450376;29.344986;36;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Sedimentation/siltation Deforestation;166
Monday, 05 January 2026;-3.450376;29.344986;39;No formal schooling;Fishing;Forest loss/deforestation;Population pressure/growth;Climate change impacts Deforestation Soil erosion Sedimentation/siltation Water pollution Waste dumping;167
Monday, 05 January 2026;-3.450376;29.344986;27;Tertiary education;Fishing;Forest loss/deforestation;Population pressure/growth;Waste dumping Climate change impacts Deforestation Soil erosion Sedimentation/siltation Water pollution;168
Monday, 05 January 2026;-3.450376;29.344986;38;Tertiary education;Wage labor;Settlement expansion;Population pressure/growth;Climate change impacts Waste dumping Deforestation Soil erosion Sedimentation/siltation Water pollution;169
